vehicle_type,speed,heading,zone_type,gps_confidence,road_health,distance_to_polygon,hour_of_day,risk_category
Bike,25.9,276.5,None,0.918,72.2,205.5,3,LOW
Auto,24.6,221.3,Bridge,0.635,66.0,84.6,11,LOW
Bike,96.4,187.9,Bridge,0.951,38.7,0.0,8,MEDIUM
Car,2.1,317.7,None,0.696,72.3,2475.0,19,LOW
Auto,81.5,329.4,None,0.932,58.1,314.4,2,MEDIUM
Bus,92.6,345.0,School,0.821,73.0,182.4,14,HIGH
Car,10.3,198.6,None,0.563,85.4,1412.2,15,LOW
Bus,82.3,108.3,Hospital,0.886,35.5,130.8,11,HIGH
Tanker,71.3,26.4,None,0.992,74.2,126.9,23,LOW
Auto,30.4,51.1,None,0.999,31.7,2513.2,13,LOW
Bus,94.8,133.9,None,0.955,33.2,1223.3,6,MEDIUM
Tanker,5.7,171.8,None,0.574,73.8,268.5,10,LOW
Bike,6.6,133.0,None,0.546,21.9,788.0,4,MEDIUM
Auto,70.7,18.6,None,0.889,84.3,2176.0,0,LOW
Car,71.0,329.0,None,0.918,23.5,1576.7,18,LOW
Truck,102.1,140.7,Hospital,0.902,83.7,118.0,13,MEDIUM
Lorry,35.5,111.5,Bridge,0.818,97.5,164.0,5,LOW
Car,18.8,258.5,None,0.739,12.7,1975.1,23,LOW
Truck,69.8,51.7,Construction,0.885,46.3,0.0,18,HIGH
Ambulance,89.0,24.5,None,0.938,83.9,572.6,12,LOW
Bus,85.8,242.3,None,0.997,91.6,1751.9,5,LOW
Container,96.8,295.8,Accident,0.95,87.6,106.1,13,MEDIUM
Police,11.5,48.7,Hospital,0.436,41.1,0.0,8,HIGH
Lorry,84.8,249.7,None,0.809,49.1,2499.8,20,MEDIUM
Container,55.4,138.0,None,0.748,68.4,1332.7,3,LOW
Car,89.3,329.9,Hairpin,0.707,63.4,179.9,1,HIGH
Truck,21.8,35.3,Accident,0.821,85.0,0.0,16,MEDIUM
Container,9.6,273.6,None,0.923,38.9,590.9,9,LOW
Auto,32.3,7.1,None,0.61,47.5,2218.2,2,LOW
Lorry,31.7,19.9,None,0.698,24.1,2574.2,5,LOW
Container,69.0,289.9,Construction,0.92,18.4,49.4,4,HIGH
Auto,50.5,325.5,Accident,0.61,82.1,0.0,22,HIGH
Bus,39.0,253.4,Flood,0.657,67.7,0.0,0,HIGH
Bike,74.2,277.8,Construction,0.751,61.7,0.0,9,MEDIUM
Bus,18.2,294.5,Accident,0.964,39.4,0.0,15,MEDIUM
Bus,53.4,333.6,None,0.898,49.5,2999.1,14,LOW
Bike,56.5,60.0,None,0.642,80.8,892.2,14,LOW
Bike,32.7,24.9,Hospital,0.851,77.6,0.0,7,MEDIUM
Lorry,37.4,103.5,None,0.928,89.5,1419.0,6,LOW
Car,82.1,52.4,None,0.845,98.9,2400.8,1,MEDIUM
Police,41.8,206.7,Construction,0.85,70.2,149.4,2,MEDIUM
Container,14.6,72.0,None,0.832,29.4,1308.4,17,LOW
Tanker,41.6,334.0,None,0.991,87.2,981.7,4,LOW
Lorry,89.2,327.2,None,0.862,64.1,2146.2,20,MEDIUM
Ambulance,43.4,14.1,None,0.796,12.5,1083.9,2,LOW
Police,57.5,185.7,Construction,0.943,34.4,0.0,17,MEDIUM
Ambulance,22.8,227.2,None,0.831,26.5,1796.6,15,LOW
Tanker,44.9,234.9,Hairpin,0.75,93.0,43.6,1,MEDIUM
Truck,91.0,325.1,None,0.884,44.3,2396.3,18,MEDIUM
Auto,33.5,63.3,Accident,0.784,83.3,63.0,10,MEDIUM
Bike,63.3,74.8,School,0.924,35.5,0.0,9,MEDIUM
Container,12.1,267.8,Hairpin,0.979,52.7,81.3,13,MEDIUM
Bike,104.2,114.9,Accident,0.953,93.2,176.5,11,MEDIUM
Car,31.7,163.4,RoadBlock,0.837,91.0,0.0,14,MEDIUM
Lorry,52.9,324.7,None,0.664,92.1,2996.9,2,LOW
Police,85.1,173.9,RoadBlock,0.986,95.0,5.6,20,MEDIUM
Car,78.3,147.1,None,0.739,27.0,584.3,6,MEDIUM
Truck,80.1,86.0,None,0.729,39.8,1848.8,0,MEDIUM
Container,90.7,33.8,Accident,0.531,30.4,0.0,7,HIGH
Ambulance,4.7,35.4,Hairpin,0.89,85.8,0.0,4,MEDIUM
Auto,54.9,273.0,None,0.779,99.0,764.2,13,LOW
Tanker,69.9,102.1,RoadBlock,0.624,90.6,168.2,23,MEDIUM
Ambulance,74.7,24.2,School,0.907,59.0,0.0,13,MEDIUM
Lorry,24.4,206.7,None,0.831,76.1,398.0,8,LOW
Ambulance,68.3,156.7,Hairpin,0.822,39.4,136.5,14,MEDIUM
Lorry,104.2,202.8,Hospital,0.847,69.9,85.8,3,HIGH
Police,93.0,256.2,Hospital,0.989,82.7,0.0,17,MEDIUM
Tanker,56.1,120.7,None,0.997,26.4,1879.5,9,LOW
Tanker,26.0,37.9,None,0.973,21.6,2754.4,3,MEDIUM
Ambulance,64.6,9.9,RoadBlock,0.77,21.9,0.0,17,HIGH
Lorry,79.8,85.1,Flood,0.963,34.9,166.9,1,MEDIUM
Truck,16.3,221.4,Construction,0.891,98.7,0.0,1,MEDIUM
Bus,73.7,302.1,Hospital,0.886,90.9,180.7,2,MEDIUM
Auto,14.1,73.4,None,0.942,63.3,379.0,14,LOW
Police,52.5,356.2,Hairpin,0.945,61.6,115.9,16,MEDIUM
Lorry,93.7,139.9,RoadBlock,0.823,83.5,53.9,10,MEDIUM
Car,1.2,55.6,Flood,0.843,56.7,0.0,8,MEDIUM
Container,47.3,214.7,None,0.916,64.4,1806.8,6,LOW
Car,69.4,57.0,None,0.887,39.7,2379.4,12,LOW
Tanker,10.3,350.0,Hospital,0.907,16.7,0.0,5,HIGH
Container,36.9,356.5,None,0.55,99.0,1412.9,0,LOW
Truck,13.8,77.1,Bridge,0.991,25.0,66.0,16,LOW
Bus,7.7,319.4,Flood,0.947,36.2,139.6,10,MEDIUM
Truck,92.9,102.8,None,0.972,18.5,1898.4,16,MEDIUM
Auto,56.5,40.9,Accident,0.425,54.3,19.2,10,MEDIUM
Bus,105.3,238.9,Construction,0.992,75.1,110.9,7,MEDIUM
Car,26.5,91.1,Hairpin,0.826,84.8,0.0,18,MEDIUM
Lorry,25.7,298.9,Hairpin,0.676,80.6,4.6,17,MEDIUM
Police,65.5,211.2,None,0.956,56.5,820.5,9,LOW
Ambulance,66.7,264.6,None,0.794,66.1,2844.7,23,LOW
Police,11.4,122.8,None,0.866,26.8,468.6,11,LOW
Police,64.7,181.8,None,0.535,64.9,1327.1,4,MEDIUM
Container,101.2,230.4,Bridge,0.843,39.4,0.0,9,MEDIUM
Bus,71.9,191.2,None,0.919,27.3,558.6,8,MEDIUM
Container,104.9,216.1,School,0.851,63.9,0.0,9,HIGH
Police,52.5,22.2,None,0.761,39.9,1124.1,22,LOW
Lorry,34.0,351.4,None,0.743,42.0,1391.0,4,MEDIUM
Container,105.5,218.5,RoadBlock,0.966,30.5,0.0,13,HIGH
Police,0.5,316.2,None,0.848,99.4,520.6,14,LOW
Police,11.0,157.4,None,0.551,38.3,2754.5,10,LOW
Ambulance,4.6,84.2,Flood,0.813,72.4,55.2,16,LOW
Lorry,50.2,106.7,RoadBlock,0.92,42.7,70.2,6,MEDIUM
Auto,51.5,231.4,None,0.562,74.5,577.6,14,LOW
Ambulance,28.3,153.0,None,0.709,51.4,1315.3,20,LOW
Ambulance,66.0,291.5,Flood,0.737,44.5,0.0,3,HIGH
Police,101.4,176.5,None,0.518,27.7,1427.0,19,MEDIUM
Lorry,96.0,30.9,RoadBlock,0.897,46.5,0.0,17,HIGH
Ambulance,0.4,322.5,None,0.974,19.7,1574.7,5,LOW
Car,80.3,250.7,RoadBlock,0.555,68.3,0.0,18,HIGH
Tanker,7.8,23.3,Flood,0.956,52.1,114.2,12,MEDIUM
Lorry,49.8,329.9,Flood,0.98,76.7,0.0,10,MEDIUM
Bus,64.9,55.1,None,0.951,92.6,754.7,10,LOW
Auto,13.2,72.8,Hairpin,0.605,43.4,34.2,3,HIGH
Truck,30.1,85.8,School,0.662,80.0,0.0,1,HIGH
Truck,22.6,41.6,None,0.679,39.4,2292.8,11,LOW
Bus,34.6,351.4,RoadBlock,0.915,53.5,0.0,2,MEDIUM
Container,29.9,339.7,None,0.843,62.8,2358.5,15,LOW
Bus,89.0,295.5,None,0.692,43.0,1718.3,9,MEDIUM
Bike,54.8,216.2,Accident,0.659,98.4,0.0,5,MEDIUM
Bike,45.4,221.3,None,0.939,53.6,611.9,5,LOW
Police,88.3,98.1,None,0.693,30.9,2678.3,22,MEDIUM
Lorry,90.0,206.4,Construction,0.957,37.7,167.9,4,HIGH
Truck,77.2,118.5,Hairpin,0.629,73.0,0.0,12,HIGH
Police,88.8,235.4,Accident,0.928,78.6,0.0,18,HIGH
Container,3.5,194.9,None,0.642,16.9,563.8,18,MEDIUM
Police,92.1,149.8,School,0.626,48.1,0.0,21,HIGH
Container,11.1,228.4,Hospital,0.837,49.0,0.0,2,HIGH
Auto,11.7,48.2,None,0.779,17.3,1911.8,21,LOW
Bus,95.5,301.2,Construction,0.958,57.8,153.2,6,MEDIUM
Container,8.6,211.8,None,0.837,80.7,737.0,22,LOW
Truck,90.8,43.8,None,0.856,81.9,1560.9,19,MEDIUM
Police,34.0,145.6,School,0.756,37.2,197.2,18,MEDIUM
Bus,55.1,185.4,None,0.974,67.9,2020.1,8,LOW
Tanker,17.0,179.4,School,0.579,29.1,0.0,10,HIGH
Car,41.5,194.2,Bridge,0.932,84.6,54.0,9,LOW
Ambulance,2.5,299.2,None,0.695,78.0,2466.8,1,LOW
Police,24.2,261.7,Hospital,0.98,97.5,0.0,17,MEDIUM
Auto,10.3,44.4,School,0.809,53.6,143.7,18,MEDIUM
Ambulance,39.8,126.8,RoadBlock,0.793,29.2,0.0,12,MEDIUM
Tanker,32.1,240.0,None,0.731,55.5,1900.2,10,LOW
Bike,98.3,69.0,None,0.937,20.5,1720.8,13,MEDIUM
Bus,33.1,358.1,None,0.818,54.5,1499.5,23,LOW
Lorry,49.9,285.8,None,0.871,26.3,910.7,9,LOW
Police,36.6,199.9,Hospital,0.897,85.4,123.4,10,MEDIUM
Truck,25.0,313.0,School,0.777,55.1,0.0,3,HIGH
Bus,24.6,200.1,None,0.718,72.6,1981.1,2,LOW
Lorry,73.7,231.6,Hospital,0.869,52.1,0.0,0,HIGH
Container,39.6,280.7,Hospital,0.834,90.3,0.0,18,MEDIUM
Police,106.6,257.7,None,0.818,67.6,1017.1,21,LOW
Truck,49.6,137.3,Hairpin,0.801,69.7,113.3,4,MEDIUM
Truck,101.6,36.5,Accident,0.948,55.3,0.0,22,HIGH
Car,4.9,104.7,None,0.627,67.5,678.1,21,LOW
Car,91.0,242.9,Hospital,0.893,69.5,0.0,10,HIGH
Lorry,36.9,123.4,None,0.86,49.7,1253.8,6,LOW
Police,40.2,101.8,Accident,0.885,79.6,0.0,9,MEDIUM
Auto,103.9,297.0,Hairpin,0.705,64.0,0.0,5,HIGH
Truck,76.3,159.4,Accident,0.428,85.7,0.0,8,HIGH
Bike,1.5,327.4,RoadBlock,0.91,77.4,128.4,3,MEDIUM
Truck,45.8,243.6,RoadBlock,0.593,72.5,0.0,10,MEDIUM
Lorry,60.4,144.0,Accident,0.775,45.3,0.0,20,HIGH
Tanker,39.5,304.6,None,0.993,15.6,1880.0,16,LOW
Lorry,49.3,217.5,None,0.716,54.9,1126.3,8,LOW
Lorry,102.7,19.5,School,0.621,74.7,112.2,21,HIGH
Bus,53.3,152.0,Hospital,0.519,53.2,0.0,2,HIGH
Car,61.5,110.2,None,0.719,51.8,2293.8,2,MEDIUM
Police,64.3,19.3,School,0.954,74.8,141.1,21,MEDIUM
Auto,77.0,328.8,None,0.629,96.1,531.3,22,LOW
Truck,84.0,227.2,None,0.745,16.1,707.6,23,MEDIUM
Police,0.9,278.8,None,0.832,96.6,400.4,23,LOW
Container,13.4,251.9,None,0.581,93.3,683.0,9,LOW
Container,8.9,121.9,RoadBlock,0.977,69.5,0.0,18,MEDIUM
Container,3.1,349.7,None,0.971,58.0,704.0,14,LOW
Container,15.5,272.5,None,0.891,34.9,2630.4,14,LOW
Police,75.7,124.1,None,0.952,68.8,1664.5,4,LOW
Ambulance,66.9,196.1,None,0.967,68.9,1337.1,0,LOW
Container,107.2,38.7,None,0.949,13.6,614.6,20,MEDIUM
Container,32.3,245.3,School,0.814,12.7,0.0,21,HIGH
Bus,88.7,163.9,Accident,0.96,53.9,0.0,3,HIGH
Police,103.1,201.9,Flood,0.785,10.2,0.0,10,HIGH
Police,39.2,42.3,None,0.944,58.8,2568.6,5,LOW
Bike,36.7,51.1,None,0.905,51.8,2556.6,7,LOW
Auto,103.1,152.9,None,0.717,84.4,2605.5,13,LOW
Bus,62.7,311.2,None,0.918,16.6,1115.5,21,MEDIUM
Truck,68.6,69.0,Hospital,0.92,33.3,0.0,22,HIGH
Tanker,76.9,302.6,Flood,0.744,29.6,0.0,16,HIGH
Lorry,9.4,321.8,None,0.831,28.8,1224.9,15,LOW
Tanker,70.5,314.0,Accident,0.838,98.2,0.0,20,MEDIUM
Auto,102.0,187.5,None,0.849,57.4,155.4,19,LOW
Bus,54.6,104.5,None,0.884,63.0,914.1,10,LOW
Bus,40.4,32.4,None,0.595,51.8,1709.5,18,MEDIUM
Truck,88.2,75.8,School,0.816,27.0,0.0,11,HIGH
Lorry,98.7,191.8,None,0.954,23.0,1937.1,22,MEDIUM
Container,44.5,166.8,None,0.605,29.1,952.7,8,MEDIUM
Auto,77.7,245.4,None,0.715,58.7,948.5,22,LOW
Bus,75.8,0.1,None,0.921,99.5,1308.8,20,LOW
Lorry,5.1,109.8,Bridge,0.706,52.7,0.0,15,MEDIUM
Car,10.0,147.6,None,0.998,81.2,176.2,16,LOW
Ambulance,48.7,210.9,Flood,0.766,45.6,96.4,10,LOW
Police,21.7,179.8,None,0.936,90.1,1887.5,19,LOW
Tanker,34.8,16.4,Hospital,0.428,13.5,0.0,12,HIGH
Tanker,106.1,10.0,Flood,0.628,19.1,0.0,1,HIGH
Lorry,2.6,15.7,School,0.994,48.6,0.0,11,MEDIUM
Police,62.5,44.8,Flood,0.623,65.5,0.0,10,MEDIUM
Container,29.4,309.8,RoadBlock,0.855,60.1,13.8,6,MEDIUM
Auto,68.4,292.2,Construction,0.433,21.0,0.0,23,HIGH
Lorry,28.8,129.7,None,0.63,67.2,2575.9,7,LOW
Ambulance,24.6,182.3,School,0.614,12.5,0.0,8,HIGH
Tanker,58.6,7.4,School,0.919,99.2,0.0,20,MEDIUM
Ambulance,40.0,89.4,Hospital,0.871,42.2,0.0,14,MEDIUM
Bus,31.5,253.3,None,0.848,76.4,1070.5,20,LOW
Bus,99.7,26.9,None,0.674,78.1,700.8,10,MEDIUM
Tanker,68.5,208.2,None,0.912,61.4,272.7,8,LOW
Auto,105.6,39.5,None,0.806,33.4,1923.4,9,MEDIUM
Bus,4.7,138.8,None,0.894,87.5,2028.0,0,LOW
Container,78.2,335.8,None,0.745,74.4,1660.8,11,LOW
Ambulance,102.6,85.7,School,0.937,51.0,86.1,13,MEDIUM
Ambulance,8.0,147.5,Accident,0.785,98.1,0.0,19,MEDIUM
Car,56.7,102.5,None,0.84,76.9,1726.9,10,LOW
Auto,62.9,102.9,Hairpin,0.982,58.7,108.1,1,MEDIUM
Bus,96.2,18.1,None,0.798,97.9,723.1,2,MEDIUM
Bus,102.9,73.7,Flood,0.774,38.7,0.0,16,HIGH
Lorry,48.4,151.8,Hospital,0.817,94.5,0.0,11,MEDIUM
Ambulance,1.6,152.6,None,0.554,64.2,584.7,2,LOW
Bike,97.3,244.1,Hairpin,0.976,25.2,9.2,13,HIGH
Ambulance,37.2,54.1,Flood,0.783,81.4,1.4,2,MEDIUM
Police,37.8,177.6,Accident,0.816,74.8,0.0,8,MEDIUM
Car,23.6,196.4,School,0.796,87.4,0.0,20,MEDIUM
Lorry,47.2,303.5,None,0.638,47.7,931.8,1,LOW
Lorry,37.3,185.1,Flood,0.919,77.1,0.0,16,MEDIUM
Ambulance,39.7,170.5,None,0.841,95.9,1768.0,0,LOW
Tanker,82.9,184.1,None,0.927,69.3,2582.4,0,MEDIUM
Ambulance,80.5,75.8,Hospital,0.868,83.2,0.0,6,HIGH
Lorry,38.4,109.3,Bridge,0.412,38.1,140.8,15,LOW
Truck,54.4,116.1,None,0.908,41.7,722.4,16,LOW
Bus,59.9,52.9,None,0.691,98.1,1418.3,6,LOW
Car,90.4,275.9,None,0.82,33.9,2379.0,8,MEDIUM
Bike,105.3,323.6,None,0.934,18.8,1216.2,5,MEDIUM
Auto,109.1,204.3,None,0.905,99.3,1223.5,10,LOW
Tanker,65.3,38.3,None,0.899,44.8,2902.8,3,MEDIUM
Police,9.3,293.9,School,0.958,78.3,0.0,19,MEDIUM
Bike,28.6,73.4,None,0.859,67.8,2272.8,6,LOW
Car,57.3,183.2,None,0.969,34.3,1691.7,3,LOW
Lorry,39.6,194.0,RoadBlock,0.677,47.9,160.2,23,MEDIUM
Lorry,30.9,312.8,None,0.789,57.3,2903.4,11,LOW
Lorry,31.1,55.3,None,0.974,47.0,2564.9,6,LOW
Tanker,27.4,112.4,School,0.876,45.0,0.0,5,HIGH
Lorry,47.0,16.8,None,0.829,20.1,2137.4,23,MEDIUM
Container,90.5,295.0,None,0.891,92.8,1143.0,12,MEDIUM
Bus,85.8,330.8,None,0.801,27.9,1570.5,15,MEDIUM
Tanker,92.8,189.6,Bridge,0.834,61.9,0.0,19,MEDIUM
Car,82.9,326.5,School,0.597,70.7,144.6,1,HIGH
Tanker,28.7,209.2,School,0.77,48.1,0.0,14,HIGH
Auto,44.2,300.9,Accident,0.82,99.8,0.0,1,MEDIUM
Lorry,81.0,49.9,None,0.813,16.7,498.2,23,MEDIUM
Truck,66.1,186.1,None,0.826,88.6,2440.5,13,LOW
Tanker,86.4,5.7,Hairpin,0.729,41.0,0.0,9,HIGH
Police,74.2,232.2,RoadBlock,0.512,70.7,0.0,20,MEDIUM
Car,75.4,221.2,None,0.852,83.6,719.9,5,LOW
Truck,102.2,8.2,Bridge,0.694,99.3,0.0,18,MEDIUM
Tanker,29.1,18.5,None,0.573,88.7,2028.3,0,LOW
Police,61.8,255.0,Hospital,0.841,65.4,191.6,22,MEDIUM
Truck,36.4,273.2,None,0.696,21.2,1571.1,21,LOW
Car,5.7,115.3,None,0.627,91.8,977.9,13,LOW
Ambulance,82.9,170.2,Accident,0.876,70.1,0.0,18,HIGH
Truck,81.7,180.9,None,0.943,85.7,403.6,22,MEDIUM
Police,104.5,65.5,RoadBlock,0.654,41.8,0.0,0,HIGH
Lorry,20.3,137.2,Bridge,0.738,35.2,49.2,14,MEDIUM
Car,2.0,124.4,None,0.654,38.5,2823.3,17,LOW
Police,28.9,143.0,Bridge,0.891,87.8,153.6,23,LOW
Container,74.9,164.1,Hospital,0.844,54.6,12.4,11,HIGH
Police,9.7,94.4,Accident,0.943,33.5,0.0,21,MEDIUM
Bike,35.9,25.9,Flood,0.983,30.4,0.0,23,MEDIUM
Ambulance,108.4,299.9,Accident,0.964,73.5,27.2,12,MEDIUM
Container,48.8,226.9,None,0.941,76.1,2999.2,4,LOW
Police,44.6,353.8,None,0.965,81.7,1087.9,11,LOW
Truck,99.7,195.6,None,0.841,31.9,914.4,4,MEDIUM
Container,65.9,323.8,None,0.664,84.5,1312.1,14,MEDIUM
Bus,19.3,125.7,Hairpin,0.948,70.1,0.0,16,MEDIUM
Bus,71.3,123.4,None,0.732,57.5,1038.5,17,MEDIUM
Bus,87.0,320.0,Flood,0.861,49.3,0.0,22,HIGH
Ambulance,43.2,341.7,Construction,0.631,26.9,80.4,17,MEDIUM
Truck,91.9,207.5,School,0.925,41.6,0.0,17,HIGH
Bus,80.9,247.5,Bridge,0.845,15.6,17.2,22,HIGH
Police,1.1,203.2,Construction,0.857,19.1,0.0,23,MEDIUM
Container,46.7,302.4,None,0.944,31.9,1923.7,16,LOW
Ambulance,24.5,139.2,Bridge,0.917,66.6,19.0,11,LOW
Truck,51.2,93.6,Bridge,0.928,34.2,190.5,20,LOW
Lorry,82.3,7.0,School,0.763,96.8,44.6,3,HIGH
Truck,64.7,251.4,None,0.398,49.2,2697.3,7,MEDIUM
Tanker,104.5,258.1,RoadBlock,0.725,95.6,87.8,20,MEDIUM
Lorry,47.2,243.4,School,0.973,38.8,0.0,0,HIGH
Lorry,69.5,32.5,Accident,0.817,13.7,7.6,2,HIGH
Police,51.1,29.8,Construction,0.965,24.7,0.0,11,MEDIUM
Car,64.0,328.5,None,0.73,12.4,2211.1,10,LOW
Lorry,89.8,19.1,None,0.823,72.4,275.7,13,MEDIUM
Police,89.9,15.4,Hairpin,0.815,20.6,29.4,15,HIGH
Police,40.6,300.2,None,0.585,46.1,1064.6,11,LOW
Police,88.5,331.8,None,0.611,77.2,1829.8,17,MEDIUM
Ambulance,99.3,72.0,None,0.812,93.2,2763.5,21,LOW
Car,79.2,17.3,None,0.981,20.5,245.7,1,MEDIUM
Truck,83.0,84.7,None,0.933,14.0,648.5,8,MEDIUM
Truck,74.7,29.5,Bridge,0.654,19.1,35.5,22,MEDIUM
Truck,38.4,118.4,None,0.72,84.1,630.1,12,LOW
Lorry,13.7,16.1,None,0.811,91.7,2721.4,1,LOW
Bike,101.6,178.1,None,0.847,74.7,971.0,6,LOW
Truck,82.9,26.5,School,0.906,85.5,39.5,4,HIGH
Car,88.9,285.0,None,0.907,10.8,1640.9,2,MEDIUM
Police,104.8,55.5,None,0.735,90.2,2829.9,22,MEDIUM
Bike,54.5,127.3,Hairpin,0.966,60.6,0.0,18,MEDIUM
Bike,10.5,286.1,None,0.748,15.4,1131.1,5,LOW
Tanker,84.9,220.9,Accident,0.68,68.2,0.0,9,HIGH
Ambulance,57.4,257.8,Construction,0.707,91.4,124.7,4,MEDIUM
Truck,95.7,14.1,RoadBlock,0.889,84.2,0.0,15,MEDIUM
Ambulance,44.6,204.5,Accident,0.895,76.8,0.0,1,MEDIUM
Lorry,84.0,25.1,None,0.654,88.2,234.6,21,MEDIUM
Police,79.3,193.9,Bridge,0.315,70.2,55.4,14,MEDIUM
Truck,2.2,23.9,Construction,0.752,94.9,0.0,4,MEDIUM
Auto,98.4,103.8,School,0.848,71.0,0.0,15,HIGH
Ambulance,94.9,218.7,School,1.0,50.2,131.5,16,MEDIUM
Container,47.6,101.7,Construction,0.898,55.5,0.0,15,MEDIUM
Ambulance,42.3,38.0,None,0.69,85.3,843.5,2,LOW
Tanker,8.4,11.4,None,0.5,32.3,995.1,15,MEDIUM
Lorry,93.0,176.9,Flood,0.616,92.5,0.0,0,HIGH
Auto,108.3,144.5,Accident,0.603,26.0,44.8,6,HIGH
Bike,34.6,283.0,None,0.59,16.3,1894.8,17,LOW
Truck,3.9,189.0,Accident,0.793,74.0,187.4,13,MEDIUM
Car,72.6,2.6,Bridge,0.592,24.0,0.0,4,MEDIUM
Ambulance,39.9,117.2,School,0.591,17.2,0.0,1,HIGH
Car,50.5,199.8,Construction,0.757,56.0,59.2,21,LOW
Bike,39.1,187.4,School,0.971,80.1,0.0,4,MEDIUM
Lorry,53.0,356.0,None,0.792,11.5,563.4,6,LOW
Police,41.5,38.3,None,0.623,85.7,1319.3,15,LOW
Bus,95.4,188.8,None,0.961,48.7,469.2,17,MEDIUM
Bike,13.1,59.2,Hospital,0.963,28.8,0.0,21,MEDIUM
Bike,73.4,322.1,Flood,0.612,85.2,0.0,15,MEDIUM
Truck,69.6,331.0,Accident,0.858,36.0,0.0,20,HIGH
Container,84.1,335.8,Bridge,0.645,81.2,0.0,13,MEDIUM
Ambulance,97.6,78.0,Hairpin,0.546,96.7,0.0,12,HIGH
Container,77.1,21.6,None,0.933,92.0,2683.3,14,LOW
Lorry,24.0,280.1,Flood,0.762,10.9,0.0,19,HIGH
Bike,23.6,358.6,None,0.862,67.8,2467.6,20,LOW
Bus,31.7,352.3,Bridge,0.948,94.3,147.3,16,LOW
Truck,63.5,58.4,None,0.384,30.3,390.3,19,MEDIUM
Truck,42.3,329.6,Hospital,0.964,52.6,158.5,4,MEDIUM
Car,106.5,180.1,None,0.52,86.5,2505.0,8,LOW
Police,52.0,201.2,None,0.921,79.5,1088.8,9,LOW
Auto,82.4,158.8,None,0.893,11.8,2876.5,9,MEDIUM
Police,85.3,53.6,None,0.682,34.8,1392.5,12,MEDIUM
Auto,23.3,18.2,Flood,0.584,22.9,0.0,10,MEDIUM
Police,8.5,166.1,None,0.673,37.9,1191.2,17,LOW
Truck,67.3,60.2,None,0.995,96.7,159.4,20,LOW
Tanker,21.9,161.0,None,0.752,84.6,1196.8,19,LOW
Container,27.8,327.3,None,0.87,58.6,2296.7,7,LOW
Container,0.8,178.3,None,0.932,47.7,400.6,6,LOW
Bike,48.7,289.7,None,0.796,63.2,2256.0,8,LOW
Ambulance,83.7,257.0,RoadBlock,0.831,18.5,3.4,4,HIGH
Tanker,89.6,255.7,RoadBlock,0.49,83.0,157.7,21,MEDIUM
Bike,16.9,83.9,None,0.76,62.3,2498.1,6,LOW
Auto,34.4,18.0,Accident,0.931,85.1,0.0,23,MEDIUM
Tanker,46.8,44.3,Bridge,0.941,98.3,0.0,19,LOW
Container,68.7,114.7,Accident,0.724,89.5,38.4,15,MEDIUM
Ambulance,57.4,183.8,None,0.565,73.0,1944.1,22,LOW
Auto,12.9,223.5,None,0.535,30.4,1348.9,17,LOW
Tanker,10.5,26.8,Hospital,0.997,38.4,0.0,3,HIGH
Bike,45.3,72.9,None,0.853,22.5,611.3,0,LOW
Tanker,27.7,87.9,None,0.929,32.2,1859.2,14,LOW
Bike,108.4,185.8,None,0.649,96.4,1312.0,16,LOW
Lorry,34.5,349.7,None,0.918,24.3,1618.0,1,MEDIUM
Police,81.9,98.0,Construction,0.785,79.0,0.0,13,MEDIUM
Truck,107.5,330.1,Flood,0.584,98.6,0.0,3,HIGH
Car,69.0,73.7,Hairpin,0.966,95.6,0.0,8,MEDIUM
Bike,63.0,79.7,None,0.805,69.6,375.5,4,LOW
Ambulance,2.6,197.0,RoadBlock,0.848,81.7,0.0,21,MEDIUM
Car,80.3,110.3,Construction,0.966,57.1,0.0,19,MEDIUM
Tanker,68.8,339.3,None,0.918,55.7,2748.2,7,LOW
Auto,84.6,353.2,None,0.662,30.4,1526.0,17,MEDIUM
Lorry,18.8,241.6,Flood,0.921,22.8,0.0,17,MEDIUM
Lorry,97.1,99.8,Accident,0.809,65.7,0.0,6,HIGH
Car,18.9,352.4,Accident,0.873,76.0,0.0,18,MEDIUM
Tanker,17.9,260.5,None,0.813,26.1,1466.0,3,LOW
Ambulance,102.7,122.8,Bridge,0.686,23.2,0.0,14,MEDIUM
Bus,109.5,56.1,Bridge,0.759,29.4,0.0,3,MEDIUM
Tanker,20.5,237.5,None,0.964,60.5,2852.8,18,LOW
Ambulance,71.9,343.9,None,0.943,46.8,2205.4,6,LOW
Truck,10.9,271.2,None,0.99,46.4,1512.4,22,LOW
Bus,0.0,319.0,None,0.986,16.0,292.2,19,LOW
Car,1.5,79.2,None,0.963,61.8,1092.2,6,LOW
Police,74.4,266.2,None,0.719,91.3,2322.5,16,LOW
Car,54.2,346.6,None,0.821,87.4,2613.5,16,LOW
Police,66.5,141.2,RoadBlock,0.894,71.3,0.0,4,MEDIUM
Auto,87.0,8.0,None,0.886,62.6,2727.0,5,LOW
Lorry,100.3,281.1,RoadBlock,0.916,23.4,0.0,11,HIGH
Lorry,67.1,278.9,None,0.841,38.8,2975.9,7,MEDIUM
Police,64.9,255.1,School,0.695,99.8,92.5,18,MEDIUM
Truck,77.7,286.4,None,0.825,40.2,1510.0,22,MEDIUM
Ambulance,0.2,322.8,None,0.722,69.2,2482.4,11,LOW
